Date,Open,High,Low,Close,Adj Close,Volume
2024-01-01,182.63,184.40,181.20,183.25,183.25,50234000
2024-01-02,183.50,185.10,182.75,184.90,184.90,48921000
2024-01-03,184.80,186.25,183.60,185.75,185.75,51034000
2024-01-04,185.60,187.00,184.90,186.50,186.50,49812000
2024-01-05,186.40,188.30,185.70,187.90,187.90,53045000
2024-01-06,188.00,189.20,186.80,188.75,188.75,52034000
2024-01-07,188.90,190.10,187.60,189.50,189.50,54023000
2024-01-08,189.60,191.20,188.50,190.85,190.85,55034000
2024-01-09,191.00,192.50,189.80,191.95,191.95,57012000
2024-01-10,192.10,193.70,190.90,193.10,193.10,58045000
